City,City_cd,OverallRank,State,BFRankOverall,BFRankEasebusiness,BFRankHiring,BFRankRegulations,BFRankHealthSafety,BFRankEmploymentLabor&HiringRegulations,BFRankTaxRegulations,EducationalTotalScore,Education&AttainmentGap,EducationalOverallRank,MobilePopulation,MobilePopulationrank,MobileOverallscore,MobileOverallrank,Diversityoverallrank,DiversityTotalScore,SocioeconomicDiversityrank,diversityRank,EconomicDiversityRank,HouseholdDiversityRank,ReligiousDiversityRank,TransitRank,TransitScore,TransitPopulation,PopulationTotal,PopulationRanking,locations,lat,Lon,OverallAverageRanking,OverallRank
Bridgeport,Bri,28, CT,75,71,76,72,75,77,72,65.94,140,10,4181019,10,95.3,97,25,69.88,323,16,241,15,162,3,9.4,650281,146579,97,"[41.1874, -73.1958]",41.1874,-73.1958,51,28
Tampa,Tam,29, FL,28,28,47,21,35,30,10,46.42,52,86,2441770,17,97,30,81,67.59,185,61,303,168,336,40,5.4,354242,385430,44,"[27.9701, -82.4797]",27.9701,-82.4797,52,29
Seattle,Sea,30, WA,40,32,54,54,50,56,57,66.13,22,9,3059393,14,96.4,60,171,65.57,7,138,445,442,374,16,8.1,653477,724745,18,"[47.6205, -122.3509]",47.6205,-122.3509,52,30
Jacksonville,Jac,31, FL,9,8,16,17,26,19,27,48.34,68,75,1065219,39,95.9,75,80,67.67,265,151,199,87,83,63,3.8,849975,892062,13,"[30.3369, -81.6616]",30.3369,-81.6616,53,31
Milwaukee,Mil,32, WI,55,56,34,56,59,50,62,51.25,128,55,1376476,34,96.7,47,115,66.78,418,110,333,230,120,25,7.6,599629,595351,28,"[43.0633, -87.9667]",43.0633,-87.9667,54,32
Montgomery,Mon,33, AL,41,34,68,57,42,59,53,44.88,20,94,358172,104,97.5,10,98,67.15,243,305,39,37,5,12,8.5,397663,199518,70,"[32.3472, -86.2661]",32.3472,-86.2661,54,33
Killeen,Kil,34, TX,21,9,15,12,28,11,17,42.07,80,108,1519417,30,97.6,9,39,69.14,172,10,95,162,374,52,4.8,471446,145482,99,"[31.0777, -97.732]",31.0777,-97.732,55,34
Trenton,Tre,35, NJ,28,28,47,21,35,30,10,61.37,103,18,507643,79,96.7,46,89,67.31,468,72,169,50,176,61,3.9,280102,146758,96,"[33.835, -118.3414]",33.835,-118.3414,56,35
Des Moines,Des,36, IA,17,18,50,43,38,45,37,54.81,120,35,450070,84,97.4,15,191,65.22,292,218,175,81,238,19,7.9,649571,217521,63,"[41.5726, -93.6102]",41.5726,-93.6102,57,36
Corpus Christi,Cor,37, TX,29,38,39,31,39,26,35,27.9,131,140,320069,115,97.5,11,62,68.25,229,159,42,44,67,53,4.6,311314,325605,48,"[27.7543, -97.1734]",27.7543,-97.1734,57,37
Columbus,Col,38, OH,29,38,39,31,39,26,35,52.12,118,51,1368035,35,97.8,4,203,65.02,195,186,249,207,330,42,5.1,764804,879170,15,"[39.9852, -82.9848]",39.9852,-82.9848,57,38
Ocala,Oca,39, FL,52,73,46,62,61,69,67,26.32,145,141,18351295,1,96.2,66,35,69.34,33,7,116,152,432,14,8.3,408222,425195,39,"[37.7698, -122.2257]",37.7698,-122.2257,58,39
Indianapolis,Ind,40, IN,27,31,30,47,57,47,51,48.6,108,73,1487483,32,97.9,1,197,65.09,271,196,261,167,280,35,6.1,2260279,863002,16,"[39.7767, -86.1459]",39.7767,-86.1459,58,40
Tulsa,Tul,41, OK,22,23,59,53,51,57,66,43.79,60,103,655479,61,96.9,34,83,67.55,267,135,204,136,124,66,3.6,397715,401800,41,"[36.1279, -95.9023]",36.1279,-95.9023,58,41
Bakersfield,Bak,42, CA,19,25,39,30,32,23,16,16.28,135,147,523994,78,96.8,45,46,68.7,161,79,24,180,266,54,4.4,351261,380874,45,"[35.3212, -119.0183]",35.3212,-119.0183,59,42
Baltimore,Bal,43, MD,60,55,21,71,71,65,65,59.23,107,21,2203663,19,96.6,51,199,65.08,231,265,310,267,123,9,8.9,622454,611648,27,"[39.3, -76.6105]",39.3,-76.6105,61,43
Tallahassee,Tal,44, FL,42,20,72,24,6,44,29,61.91,24,16,412317,89,97.2,22,155,66.11,218,171,195,413,179,56,4.3,280984,191049,76,"[30.4551, -84.2534]",30.4551,-84.2534,61,44
Providence,Pro,45, RI,58,64,32,37,40,27,26,43.54,129,104,1190956,38,96.8,39,77,67.88,280,13,466,178,316,13,8.4,609300,180393,83,"[41.8231, -71.4188]",41.8231,-71.4188,62,45
Naples,Nap,46, FL,41,34,68,57,42,59,53,50.89,62,56,358172,104,97.5,10,165,65.75,83,175,481,493,78,12,8.5,397663,147682,94,"[41.7492, -88.162]",41.7492,-88.162,63,46
Grand Rapids,Gra,47, MI,4,16,29,5,22,8,5,50.39,63,57,569935,69,96.5,57,141,66.27,257,199,422,177,70,49,5,480270,198829,71,"[42.9612, -85.6556]",42.9612,-85.6556,63,47
Albuquerque,Alb,48, NM,72,62,39,69,68,55,55,52.23,47,50,741318,55,94.8,110,75,67.96,194,93,151,142,239,47,5,529226,558545,29,"[35.1056, -106.6474]",35.1056,-106.6474,64,48
Las Vegas,Las,49, NV,49,41,51,42,43,54,19,38.83,19,118,1886011,22,96.5,54,99,67.14,230,35,368,35,418,43,5.1,587019,641676,26,"[36.2292, -115.2601]",36.2292,-115.2601,65,49
Greensboro,Gre,50, NC,4,16,29,5,22,8,5,44.12,27,100,311810,119,96.6,52,117,66.76,223,155,230,169,184,64,3.7,261552,290222,52,"[36.0951, -79.827]",36.0951,-79.827,65,50
Omaha,Oma,51, NE,43,76,63,55,53,70,60,54.83,95,34,725008,57,89,125,111,66.85,142,213,309,226,71,46,5,428524,466893,35,"[41.2644, -96.0451]",41.2644,-96.0451,66,51
Salt Lake City,Sal,52, UT,15,13,58,33,34,32,13,53.39,91,40,1021243,41,95.8,79,161,65.93,78,134,269,321,390,34,6.4,473354,200544,69,"[40.7769, -111.931]",40.7769,-111.931,66,52
Fayetteville,Fay,53, AR,39,48,18,23,21,22,38,46.3,15,89,310282,121,97.2,24,134,66.4,375,120,66,161,277,45,5.1,652062,209889,68,"[35.0828, -78.9735]",35.0828,-78.9735,67,53
Santa Maria,San,54, CA,67,44,37,46,33,50,54,47.77,38,81,1664496,28,97.1,27,64,68.23,73,97,31,250,298,32,6.6,333123,107014,129,"[34.9332, -120.4438]",34.9332,-120.4438,67,54
Little Rock,Lit,55, AR,51,54,78,74,76,58,58,49.09,28,67,431388,87,96.8,36,108,66.93,169,210,207,220,74,67,3.4,308306,198606,72,"[34.7254, -92.3586]",34.7254,-92.3586,67,55
Wichita,Wic,56, KS,59,53,39,51,56,53,42,47.97,97,79,472870,82,97.2,21,130,66.51,248,185,252,255,104,72,2.9,359702,390591,42,"[37.6907, 0]",37.6907,0,67,56
