City,City_cd,OverallRank,State,BFRankOverall,BFRankEasebusiness,BFRankHiring,BFRankRegulations,BFRankHealthSafety,BFRankEmploymentLabor&HiringRegulations,BFRankTaxRegulations,EducationalTotalScore,Education&AttainmentGap,EducationalOverallRank,MobilePopulation,MobilePopulationrank,MobileOverallscore,MobileOverallrank,Diversityoverallrank,DiversityTotalScore,SocioeconomicDiversityrank,diversityRank,EconomicDiversityRank,HouseholdDiversityRank,ReligiousDiversityRank,TransitRank,TransitScore,TransitPopulation,PopulationTotal,PopulationRanking,locations,lat,Lon,OverallAverageRanking,OverallRank
Salinas,Sal,, CA,73,67,61,78,78,78,78,22.98,141,144,1723634,27,97.4,14,335,62.73,357,382,311,244,125,34,6.4,473354,157596,92,"[36.6902, -121.6337]",36.6902,-121.6337,115,118
Manchester,Man,, NH,53,46,67,67,52,40,74,52.39,147,48,401661,91,95.1,102,300,63.51,191,283,232,82,368,71,2.9,372035,111196,125,"[42.9849, -71.4441]",42.9849,-71.4441,117,119
Jackson,Jac,, MS,27,31,30,47,57,47,51,48.66,49,72,351478,106,95.7,84,368,62.01,50,165,479,357,491,60,4,837906,166965,90,"[32.3158, -90.2128]",32.3158,-90.2128,117,120
Oxnard,Oxn,, CA,77,78,64,76,65,70,77,49.48,58,65,367260,102,96.2,68,399,61.04,449,452,262,149,80,28,7.1,250981,210037,67,"[34.2023, -119.2046]",34.2023,-119.2046,117,121
Charleston,Cha,, SC,12,45,28,28,5,13,43,52.1,115,52,548404,75,93.5,117,417,60.59,192,413,231,225,400,20,7.9,259521,134875,104,"[32.8179, -79.959]",32.8179,-79.959,120,122
Port St. Lucie,Por,, FL,68,58,57,50,53,37,41,36.21,144,129,376047,100,96.1,71,307,63.3,315,96,270,344,482,73,2.8,277622,189344,78,"[27.2806, -80.3883]",27.2806,-80.3883,121,123
Eugene,Eug,, OR,39,48,18,23,21,22,38,53.51,48,38,803086,52,95.7,83,450,59.29,239,329,227,232,494,45,5.1,652062,168916,89,"[44.0567, -123.1162]",44.0567,-123.1162,124,124
Palm Bay,Pal,, FL,77,78,64,76,65,70,77,48.19,106,76,452791,83,96.8,42,399,61.04,449,452,262,149,80,28,7.1,250981,111657,124,"[27.9856, -80.6626]",27.9856,-80.6626,124,125
Canton,Can,, OH,55,61,62,60,72,64,48,38.73,40,119,935906,45,97.3,19,415,60.64,496,369,303,62,178,20,7.9,259521,113630,121,"[42.376, -71.1187]",42.376,-71.1187,125,126
Winston,Win,, NC,59,53,39,51,56,53,42,40.24,74,116,472870,82,97.2,21,383,61.35,219,328,380,438,401,72,2.9,359702,119045,114,"[34.2092, 0]",34.2092,0,128,127
Provo,Pro,, UT,58,64,32,37,40,27,26,64.85,83,11,482819,81,96.2,67,500,54.12,255,242,491,470,500,13,8.4,609300,117335,116,"[40.2453, -111.6448]",40.2453,-111.6448,128,128
Asheville,Ash,, NC,50,59,70,70,64,68,68,55.35,8,30,341219,111,94.9,109,401,60.97,91,377,153,378,447,75,0.1,376814,118807,115,"[39.8337, -105.1503]",39.8337,-105.1503,130,129
Springfield,Spr,, MA,40,32,54,54,50,56,57,46.08,54,91,621300,64,92.3,122,478,57.75,464,365,184,23,494,16,8.1,653477,114868,120,"[39.7911, -89.6446]",39.7911,-89.6446,145,130
McAllen,McA,, TX,53,46,67,67,52,40,74,11.32,1,148,728825,56,94.9,108,428,60.25,467,321,52,17,457,71,2.9,372035,142696,101,"[26.2322, -98.2464]",26.2322,-98.2464,152,131
Hickory,Hic,, NC,57,50,77,73,74,76,73,22.29,143,145,924859,46,95.5,91,489,56.88,489,500,72,3,370,68,3.2,266786,239673,62,"[25.8699, -80.3029]",25.8699,-80.3029,152,132
